source_id,text,label,error_type,correct_text
s005,ჩვენ ხვალ ძველ თბილისს  მეგობრებთან ერთად მოვინახულებთ.,error,double_space,ჩვენ ხვალ ძველ თბილისს მეგობრებთან ერთად მოვინახულებთ.
s005,ჩვენ ხვალ ძველ თბილისს მეგობრებთან ერთად მოვინახულებთ .,error,space_before_punctuation,ჩვენ ხვალ ძველ თბილისს მეგობრებთან ერთად მოვინახულებთ.
s006,მიუხედავად წვიმისა,correct,none,მიუხედავად წვიმისა
s006,მიუხედავად  წვიმისა,error,double_space,მიუხედავად წვიმისა
s006,მიუხედავათ წვიმისა,error,common_spelling,მიუხედავად წვიმისა
s006,მიუხედaვად წვიმისა,error,mixed_alphabet,მიუხედავად წვიმისა
s007,რა თქმა უნდა,correct,none,რა თქმა უნდა
s007,რათქმაუნდა,error,common_spelling,რა თქმა უნდა
s007,რა თქმა  უნდა,error,double_space,რა თქმა უნდა
s007,რა თქმa უნდა,error,mixed_alphabet,რა თქმა უნდა
s008,ალბათ,correct,none,ალბათ
s008,ალბaთ,error,mixed_alphabet,ალბათ
s008,ალბად,error,common_spelling,ალბათ
s009,რამდენიმე მოსწავლემ საინტერესო შეკითხვა დასვა.,correct,none,რამდენიმე მოსწავლემ საინტერესო შეკითხვა დასვა.
s009,რამდენიმე მოსწავლeმ საინტერესო შეკითხვა დასვა.,error,mixed_alphabet,რამდენიმე მოსწავლემ საინტერესო შეკითხვა დასვა.
s009,რამოდენიმე მოსწავლემ საინტერესო შეკითხვა დასვა.,error,common_spelling,რამდენიმე მოსწავლემ საინტერესო შეკითხვა დასვა.
s009,რამდენიმე მოსწავლემ საინტერესო  შეკითხვა დასვა.,error,double_space,რამდენიმე მოსწავლემ საინტერესო შეკითხვა დასვა.
s009,რამდენიმე მოსწავლემ საინტერესო შეკითხვა დასვა .,error,space_before_punctuation,რამდენიმე მოსწავლემ საინტერესო შეკითხვა დასვა.
s010,ერთ-ერთი მოთხრობა განსაკუთრებით დამამახსოვრდა.,correct,none,ერთ-ერთი მოთხრობა განსაკუთრებით დამამახსოვრდა.
s010,ერთ-ერთი მოთხრობa განსაკუთრებით დამამახსოვრდა.,error,mixed_alphabet,ერთ-ერთი მოთხრობა განსაკუთრებით დამამახსოვრდა.
s010,ერთ-ერთი მოთხრობა განსაკუთრებით დამამახსოვრდა .,error,space_before_punctuation,ერთ-ერთი მოთხრობა განსაკუთრებით დამამახსოვრდა.
s010,ერთ-ერთი მოთხრობა  განსაკუთრებით დამამახსოვრდა.,error,double_space,ერთ-ერთი მოთხრობა განსაკუთრებით დამამახსოვრდა.
s010,ერთერთი მოთხრობა განსაკუთრებით დამამახსოვრდა.,error,common_spelling,ერთ-ერთი მოთხრობა განსაკუთრებით დამამახსოვრდა.
s011,მე ამ მნიშვნელოვან განსხვავებას აუცილებლად აღვნიშნავ.,correct,none,მე ამ მნიშვნელოვან განსხვავებას აუცილებლად აღვნიშნავ.
s011,მე ამ მნიშვნელოვან განსხვავებას აუცილებლად ავღნიშნავ.,error,common_spelling,მე ამ მნიშვნელოვან განსხვავებას აუცილებლად აღვნიშნავ.
s011,მე ამ მნიშვნელოვან განსხვავებას აუცილებლად აღვნიშნავ .,error,space_before_punctuation,მე ამ მნიშვნელოვან განსხვავებას აუცილებლად აღვნიშნავ.
s011,მე ამ მნიშვნელოვან  განსხვავებას აუცილებლად აღვნიშნავ.,error,double_space,მე ამ მნიშვნელოვან განსხვავებას აუცილებლად აღვნიშნავ.
s011,მე ამ მნიშვნელოვან გaნსხვავებას აუცილებლად აღვნიშნავ.,error,mixed_alphabet,მე ამ მნიშვნელოვან განსხვავებას აუცილებლად აღვნიშნავ.
s012,ხვალ მეგობარს ვნახავ და წიგნს დავუბრუნებ.,correct,none,ხვალ მეგობარს ვნახავ და წიგნს დავუბრუნებ.
s012,ხვალ მეგობარს ვნახამ და წიგნს დავუბრუნებ.,error,common_spelling,ხვალ მეგობარს ვნახავ და წიგნს დავუბრუნებ.
s012,ხვალ მეგობარს ვნახავ და წიგნს დავუბრუნებ .,error,space_before_punctuation,ხვალ მეგობარს ვნახავ და წიგნს დავუბრუნებ.
s012,ხვალ მეგობარს ვნახავ  და წიგნს დავუბრუნებ.,error,double_space,ხვალ მეგობარს ვნახავ და წიგნს დავუბრუნებ.
s012,ხვალ მეგობარს ვნaხავ და წიგნს დავუბრუნებ.,error,mixed_alphabet,ხვალ მეგობარს ვნახავ და წიგნს დავუბრუნებ.
s013,დავალებას ყურადღებით წავიკითხავ და პასუხს დავწერ.,correct,none,დავალებას ყურადღებით წავიკითხავ და პასუხს დავწერ.
s013,დავალებას ყურადღებით წავიკითხავ  და პასუხს დავწერ.,error,double_space,დავალებას ყურადღებით წავიკითხავ და პასუხს დავწერ.
s013,დავალებას ყურადღებით წავიკითხავ და პასუხს დავწერ .,error,space_before_punctuation,დავალებას ყურადღებით წავიკითხავ და პასუხს დავწერ.
s013,დავალებას ყურადღებით წავიკითხავ და პასუხს დავწერავ.,error,common_spelling,დავალებას ყურადღებით წავიკითხავ და პასუხს დავწერ.
s013,დავალებას ყურადღeბით წავიკითხავ და პასუხს დავწერ.,error,mixed_alphabet,დავალებას ყურადღებით წავიკითხავ და პასუხს დავწერ.
s014,ნუ იჩქარებ,correct,none,ნუ იჩქარებ
s014,ნუ  იჩქარებ,error,double_space,ნუ იჩქარებ
s014,ნუ იჩქaრებ,error,mixed_alphabet,ნუ იჩქარებ
s015,ამ სიტყვას სწორად ვერ წარმოთქვამ,correct,none,ამ სიტყვას სწორად ვერ წარმოთქვამ
s015,ამ სიტყვას სწoრად ვერ წარმოთქვამ,error,mixed_alphabet,ამ სიტყვას სწორად ვერ წარმოთქვამ
s015,ამ სიტყვას სწორად  ვერ წარმოთქვამ,error,double_space,ამ სიტყვას სწორად ვერ წარმოთქვამ
s016,ის გაკვეთილს არ აცდენს და დავალებას დროულად ასრულებს.,correct,none,ის გაკვეთილს არ აცდენს და დავალებას დროულად ასრულებს.
s016,ის გაკვეთილს არ აცდeნს და დავალებას დროულად ასრულებს.,error,mixed_alphabet,ის გაკვეთილს არ აცდენს და დავალებას დროულად ასრულებს.
s016,ის გაკვეთილს არ აცდენს  და დავალებას დროულად ასრულებს.,error,double_space,ის გაკვეთილს არ აცდენს და დავალებას დროულად ასრულებს.
s016,ის გაკვეთილს არ აცდენს და დავალებას დროულად ასრულებს .,error,space_before_punctuation,ის გაკვეთილს არ აცდენს და დავალებას დროულად ასრულებს.
s017,სამი წიგნი მაგიდაზე მოწესრიგებულად ეწყო.,correct,none,სამი წიგნი მაგიდაზე მოწესრიგებულად ეწყო.
s017,სამი წიგნი მაგიდaზე მოწესრიგებულად ეწყო.,error,mixed_alphabet,სამი წიგნი მაგიდაზე მოწესრიგებულად ეწყო.
s017,სამი წიგნი მაგიდაზე მოწესრიგებულად ეწყო .,error,space_before_punctuation,სამი წიგნი მაგიდაზე მოწესრიგებულად ეწყო.
s017,სამი წიგნი მაგიდაზე  მოწესრიგებულად ეწყო.,error,double_space,სამი წიგნი მაგიდაზე მოწესრიგებულად ეწყო.
s018,კაცმა წერილი დაწერა და მეგობარს გაუგზავნა.,correct,none,კაცმა წერილი დაწერა და მეგობარს გაუგზავნა.
s018,კაცმა წერილი დაწერა  და მეგობარს გაუგზავნა.,error,double_space,კაცმა წერილი დაწერა და მეგობარს გაუგზავნა.
s018,კაცმა წერილი დaწერა და მეგობარს გაუგზავნა.,error,mixed_alphabet,კაცმა წერილი დაწერა და მეგობარს გაუგზავნა.
s018,კაცმა წერილი დაწერა და მეგობარს გაუგზავნა .,error,space_before_punctuation,კაცმა წერილი დაწერა და მეგობარს გაუგზავნა.
s019,ბავშვს ქართული ზღაპრების მოსმენა ძალიან უყვარს.,correct,none,ბავშვს ქართული ზღაპრების მოსმენა ძალიან უყვარს.
s019,ბავშვს ქართული ზღaპრების მოსმენა ძალიან უყვარს.,error,mixed_alphabet,ბავშვს ქართული ზღაპრების მოსმენა ძალიან უყვარს.
s019,ბავშვს ქართული ზღაპრების მოსმენა ძალიან უყვარს .,error,space_before_punctuation,ბავშვს ქართული ზღაპრების მოსმენა ძალიან უყვარს.
s019,ბავშვს ქართული ზღაპრების  მოსმენა ძალიან უყვარს.,error,double_space,ბავშვს ქართული ზღაპრების მოსმენა ძალიან უყვარს.
s020,ჩვენი სკოლის ბიბლიოთეკაში ბევრი საინტერესო წიგნია.,correct,none,ჩვენი სკოლის ბიბლიოთეკაში ბევრი საინტერესო წიგნია.
s020,ჩვენი სკოლის ბიბლიოთეკაში  ბევრი საინტერესო წიგნია.,error,double_space,ჩვენი სკოლის ბიბლიოთეკაში ბევრი საინტერესო წიგნია.
s020,ჩვენი სკოლის ბიბლიoთეკაში ბევრი საინტერესო წიგნია.,error,mixed_alphabet,ჩვენი სკოლის ბიბლიოთეკაში ბევრი საინტერესო წიგნია.
s020,ჩვენი სკოლის ბიბლიოთეკაში ბევრი საინტერესო წიგნია .,error,space_before_punctuation,ჩვენი სკოლის ბიბლიოთეკაში ბევრი საინტერესო წიგნია.
s021,მისი რვეული მაგიდაზე იდო,correct,none,მისი რვეული მაგიდაზე იდო
s021,მისი რვეული  მაგიდაზე იდო,error,double_space,მისი რვეული მაგიდაზე იდო
s021,მისი რვეული მaგიდაზე იდო,error,mixed_alphabet,მისი რვეული მაგიდაზე იდო
s022,სახლიდან უნივერსიტეტამდე ფეხით ოცი წუთი მჭირდება.,correct,none,სახლიდან უნივერსიტეტამდე ფეხით ოცი წუთი მჭირდება.
s022,სახლიდან უნივერსიტeტამდე ფეხით ოცი წუთი მჭირდება.,error,mixed_alphabet,სახლიდან უნივერსიტეტამდე ფეხით ოცი წუთი მჭირდება.
s022,სახლიდან უნივერსიტეტამდე ფეხით ოცი წუთი მჭირდება .,error,space_before_punctuation,სახლიდან უნივერსიტეტამდე ფეხით ოცი წუთი მჭირდება.
s022,სახლიდან უნივერსიტეტამდე ფეხით  ოცი წუთი მჭირდება.,error,double_space,სახლიდან უნივერსიტეტამდე ფეხით ოცი წუთი მჭირდება.
s023,გაკვეთილის შემდეგ მოსწავლეები მასწავლებელს ესაუბრნენ.,correct,none,გაკვეთილის შემდეგ მოსწავლეები მასწავლებელს ესაუბრნენ.
s023,გაკვეთილის შემდეგ მოსწავლეები მასწავლებელს ესაუბრნენ .,error,space_before_punctuation,გაკვეთილის შემდეგ მოსწავლეები მასწავლებელს ესაუბრნენ.
s023,გაკვეთილის შემდეგ მoსწავლეები მასწავლებელს ესაუბრნენ.,error,mixed_alphabet,გაკვეთილის შემდეგ მოსწავლეები მასწავლებელს ესაუბრნენ.
s023,გაკვეთილის შემდეგ მოსწავლეები  მასწავლებელს ესაუბრნენ.,error,double_space,გაკვეთილის შემდეგ მოსწავლეები მასწავლებელს ესაუბრნენ.
s024,კარგ წიგნს მკითხველი ყოველთვის ინტერესით უბრუნდება.,correct,none,კარგ წიგნს მკითხველი ყოველთვის ინტერესით უბრუნდება.
s024,კარგ წიგნს მკითხველი ყოველთვის ინტერესით უბრუნდება .,error,space_before_punctuation,კარგ წიგნს მკითხველი ყოველთვის ინტერესით უბრუნდება.
s024,კარგ წიგნს მკითხველი  ყოველთვის ინტერესით უბრუნდება.,error,double_space,კარგ წიგნს მკითხველი ყოველთვის ინტერესით უბრუნდება.
s024,კარგ წიგნს მკითხვeლი ყოველთვის ინტერესით უბრუნდება.,error,mixed_alphabet,კარგ წიგნს მკითხველი ყოველთვის ინტერესით უბრუნდება.
s025,ნელ-ნელა ცაზე ღრუბლები გაიფანტა.,correct,none,ნელ-ნელა ცაზე ღრუბლები გაიფანტა.
s025,ნელ-ნელა ცაზე ღრუბლები გაიფანტა .,error,space_before_punctuation,ნელ-ნელა ცაზე ღრუბლები გაიფანტა.
s025,ნელ-ნელა ცაზე  ღრუბლები გაიფანტა.,error,double_space,ნელ-ნელა ცაზე ღრუბლები გაიფანტა.
s025,ნელ-ნელა ცaზე ღრუბლები გაიფანტა.,error,mixed_alphabet,ნელ-ნელა ცაზე ღრუბლები გაიფანტა.
s026,მასწავლებელმა თქვა: „ტექსტი ყურადღებით წაიკითხეთ“.,correct,none,მასწავლებელმა თქვა: „ტექსტი ყურადღებით წაიკითხეთ“.
s026,მასწავლებელმა თქვა: „ტექსტი  ყურადღებით წაიკითხეთ“.,error,double_space,მასწავლებელმა თქვა: „ტექსტი ყურადღებით წაიკითხეთ“.
s026,მასწავლებელმა თქვა:„ტექსტი ყურადღებით წაიკითხეთ“.,error,missing_space_after_punctuation,მასწავლებელმა თქვა: „ტექსტი ყურადღებით წაიკითხეთ“.
s026,მასწავლებელმა თქვa: „ტექსტი ყურადღებით წაიკითხეთ“.,error,mixed_alphabet,მასწავლებელმა თქვა: „ტექსტი ყურადღებით წაიკითხეთ“.
s026,მასწავლებელმა თქვა : „ტექსტი ყურადღებით წაიკითხეთ“.,error,space_before_punctuation,მასწავლებელმა თქვა: „ტექსტი ყურადღებით წაიკითხეთ“.
s027,გამარჯობა,correct,none,გამარჯობა
s027,გამaრჯობა,error,mixed_alphabet,გამარჯობა
s028,დღეს წავიკითხეთ ლექსი,correct,none,დღეს წავიკითხეთ ლექსი
s028,დღეს წავიკითხeთ ლექსი,error,mixed_alphabet,დღეს წავიკითხეთ ლექსი
s028,დღეს წავიკითხეთ  ლექსი,error,double_space,დღეს წავიკითხეთ ლექსი
s029,თუ სიტყვა უცნობია,correct,none,თუ სიტყვა უცნობია
s029,თუ სიტყვa უცნობია,error,mixed_alphabet,თუ სიტყვა უცნობია
s029,თუ სიტყვა  უცნობია,error,double_space,თუ სიტყვა უცნობია
s030,ქართული ენის შესწავლა ყოველდღიურ პრაქტიკას მოითხოვს.,correct,none,ქართული ენის შესწავლა ყოველდღიურ პრაქტიკას მოითხოვს.
s030,ქართული ენის შესწaვლა ყოველდღიურ პრაქტიკას მოითხოვს.,error,mixed_alphabet,ქართული ენის შესწავლა ყოველდღიურ პრაქტიკას მოითხოვს.
s030,ქართული ენის შესწავლა  ყოველდღიურ პრაქტიკას მოითხოვს.,error,double_space,ქართული ენის შესწავლა ყოველდღიურ პრაქტიკას მოითხოვს.
s030,ქართული ენის შესწავლა ყოველდღიურ პრაქტიკას მოითხოვს .,error,space_before_punctuation,ქართული ენის შესწავლა ყოველდღიურ პრაქტიკას მოითხოვს.
s031,ვაჟა-ფშაველას ნაწარმოებებში ბუნებას განსაკუთრებული მნიშვნელობა აქვს.,correct,none,ვაჟა-ფშაველას ნაწარმოებებში ბუნებას განსაკუთრებული მნიშვნელობა აქვს.
s031,ვაჟა-ფშაველას ნაწარმოებებში ბუნებას  განსაკუთრებული მნიშვნელობა აქვს.,error,double_space,ვაჟა-ფშაველას ნაწარმოებებში ბუნებას განსაკუთრებული მნიშვნელობა აქვს.
s031,ვაჟა-ფშაველას ნაწარმოებებში ბუნებას განსაკუთრებული მნიშვნელობა აქვს .,error,space_before_punctuation,ვაჟა-ფშაველას ნაწარმოებებში ბუნებას განსაკუთრებული მნიშვნელობა აქვს.
s031,ვაჟა-ფშაველას ნაწარმოებeბში ბუნებას განსაკუთრებული მნიშვნელობა აქვს.,error,mixed_alphabet,ვაჟა-ფშაველას ნაწარმოებებში ბუნებას განსაკუთრებული მნიშვნელობა აქვს.
s032,ილიას ტექსტის განხილვისას ისტორიული გარემოც უნდა გავითვალისწინოთ.,correct,none,ილიას ტექსტის განხილვისას ისტორიული გარემოც უნდა გავითვალისწინოთ.
s032,ილიას ტექსტის განხილვისას ისტორიული გარემოც უნდა გავითვალისწინოთ .,error,space_before_punctuation,ილიას ტექსტის განხილვისას ისტორიული გარემოც უნდა გავითვალისწინოთ.
s032,ილიას ტექსტის განხილვისას ისტორიული  გარემოც უნდა გავითვალისწინოთ.,error,double_space,ილიას ტექსტის განხილვისას ისტორიული გარემოც უნდა გავითვალისწინოთ.
s032,ილიას ტექსტის განხილვისaს ისტორიული გარემოც უნდა გავითვალისწინოთ.,error,mixed_alphabet,ილიას ტექსტის განხილვისას ისტორიული გარემოც უნდა გავითვალისწინოთ.
s033,ლექსის რიტმი და მხატვრული სახეები სათქმელს აძლიერებს.,correct,none,ლექსის რიტმი და მხატვრული სახეები სათქმელს აძლიერებს.
s033,ლექსის რიტმი და მხaტვრული სახეები სათქმელს აძლიერებს.,error,mixed_alphabet,ლექსის რიტმი და მხატვრული სახეები სათქმელს აძლიერებს.
s033,ლექსის რიტმი და მხატვრული სახეები სათქმელს აძლიერებს .,error,space_before_punctuation,ლექსის რიტმი და მხატვრული სახეები სათქმელს აძლიერებს.
s033,ლექსის რიტმი და მხატვრული  სახეები სათქმელს აძლიერებს.,error,double_space,ლექსის რიტმი და მხატვრული სახეები სათქმელს აძლიერებს.
s034,მოთხრობის პერსონაჟის საქციელი ტექსტის მიხედვით უნდა შევაფასოთ.,correct,none,მოთხრობის პერსონაჟის საქციელი ტექსტის მიხედვით უნდა შევაფასოთ.
s034,მოთხრობის პერსონაჟის სaქციელი ტექსტის მიხედვით უნდა შევაფასოთ.,error,mixed_alphabet,მოთხრობის პერსონაჟის საქციელი ტექსტის მიხედვით უნდა შევაფასოთ.
s034,მოთხრობის პერსონაჟის საქციელი ტექსტის მიხედვით უნდა შევაფასოთ .,error,space_before_punctuation,მოთხრობის პერსონაჟის საქციელი ტექსტის მიხედვით უნდა შევაფასოთ.
s034,მოთხრობის პერსონაჟის საქციელი ტექსტის  მიხედვით უნდა შევაფასოთ.,error,double_space,მოთხრობის პერსონაჟის საქციელი ტექსტის მიხედვით უნდა შევაფასოთ.
s035,მოკლე პასუხიც შეიძლება ზუსტი და დასაბუთებული იყოს.,correct,none,მოკლე პასუხიც შეიძლება ზუსტი და დასაბუთებული იყოს.
s035,მოკლე პასუხიც შეიძლeბა ზუსტი და დასაბუთებული იყოს.,error,mixed_alphabet,მოკლე პასუხიც შეიძლება ზუსტი და დასაბუთებული იყოს.
s035,მოკლე პასუხიც შეიძლება ზუსტი და დასაბუთებული იყოს .,error,space_before_punctuation,მოკლე პასუხიც შეიძლება ზუსტი და დასაბუთებული იყოს.
s035,მოკლე პასუხიც შეიძლება ზუსტი  და დასაბუთებული იყოს.,error,double_space,მოკლე პასუხიც შეიძლება ზუსტი და დასაბუთებული იყოს.
s036,სიტყვის ფუძეს ბრუნვის ნიშანი შესაბამისი წესით ერთვის.,correct,none,სიტყვის ფუძეს ბრუნვის ნიშანი შესაბამისი წესით ერთვის.
s036,სიტყვის ფუძეს ბრუნვის ნიშანი  შესაბამისი წესით ერთვის.,error,double_space,სიტყვის ფუძეს ბრუნვის ნიშანი შესაბამისი წესით ერთვის.
s036,სიტყვის ფუძეს ბრუნვის ნიშანი შესაბამისი წესით ერთვის .,error,space_before_punctuation,სიტყვის ფუძეს ბრუნვის ნიშანი შესაბამისი წესით ერთვის.
s036,სიტყვის ფუძეს ბრუნვის ნიშaნი შესაბამისი წესით ერთვის.,error,mixed_alphabet,სიტყვის ფუძეს ბრუნვის ნიშანი შესაბამისი წესით ერთვის.
s037,წიგნები თაროზე დავალაგეთ,correct,none,წიგნები თაროზე დავალაგეთ
s037,წიგნები თaროზე დავალაგეთ,error,mixed_alphabet,წიგნები თაროზე დავალაგეთ
s037,წიგნები თაროზე  დავალაგეთ,error,double_space,წიგნები თაროზე დავალაგეთ
s038,მეგობრები ქალაქიდან დილით ადრე დაბრუნდნენ.,correct,none,მეგობრები ქალაქიდან დილით ადრე დაბრუნდნენ.
s038,მეგობრები ქალაქიდaნ დილით ადრე დაბრუნდნენ.,error,mixed_alphabet,მეგობრები ქალაქიდან დილით ადრე დაბრუნდნენ.
s038,მეგობრები ქალაქიდან დილით  ადრე დაბრუნდნენ.,error,double_space,მეგობრები ქალაქიდან დილით ადრე დაბრუნდნენ.
s038,მეგობრები ქალაქიდან დილით ადრე დაბრუნდნენ .,error,space_before_punctuation,მეგობრები ქალაქიდან დილით ადრე დაბრუნდნენ.
s039,ბავშვები სკოლასთან მშობლებს ელოდებოდნენ.,correct,none,ბავშვები სკოლასთან მშობლებს ელოდებოდნენ.
s039,ბავშვები სკოლასთან მშობლებს ელოდებოდნენ .,error,space_before_punctuation,ბავშვები სკოლასთან მშობლებს ელოდებოდნენ.
s039,ბავშვები სკოლaსთან მშობლებს ელოდებოდნენ.,error,mixed_alphabet,ბავშვები სკოლასთან მშობლებს ელოდებოდნენ.
s039,ბავშვები სკოლასთან  მშობლებს ელოდებოდნენ.,error,double_space,ბავშვები სკოლასთან მშობლებს ელოდებოდნენ.
s040,ეს საჩუქარი ჩემი საუკეთესო მეგობრისთვის შევარჩიე.,correct,none,ეს საჩუქარი ჩემი საუკეთესო მეგობრისთვის შევარჩიე.
s040,ეს საჩუქარი ჩემი სaუკეთესო მეგობრისთვის შევარჩიე.,error,mixed_alphabet,ეს საჩუქარი ჩემი საუკეთესო მეგობრისთვის შევარჩიე.
s040,ეს საჩუქარი ჩემი  საუკეთესო მეგობრისთვის შევარჩიე.,error,double_space,ეს საჩუქარი ჩემი საუკეთესო მეგობრისთვის შევარჩიე.
s040,ეს საჩუქარი ჩემი საუკეთესო მეგობრისთვის შევარჩიე .,error,space_before_punctuation,ეს საჩუქარი ჩემი საუკეთესო მეგობრისთვის შევარჩიე.
s041,მე წერილს ვწერ,correct,none,მე წერილს ვწერ
s041,მე წერილს  ვწერ,error,double_space,მე წერილს ვწერ
s041,მე წeრილს ვწერ,error,mixed_alphabet,მე წერილს ვწერ
s042,გწერ,correct,none,გწერ
s042,გწeრ,error,mixed_alphabet,გწერ
s043,მან ამბავი მშვიდად და გასაგებად მოყვა.,correct,none,მან ამბავი მშვიდად და გასაგებად მოყვა.
s043,მან ამბავი მშვიდად  და გასაგებად მოყვა.,error,double_space,მან ამბავი მშვიდად და გასაგებად მოყვა.
s043,მან ამბავი მშვიდად და გასაგებად მოყვა .,error,space_before_punctuation,მან ამბავი მშვიდად და გასაგებად მოყვა.
s043,მან ამბავი მშვიდaდ და გასაგებად მოყვა.,error,mixed_alphabet,მან ამბავი მშვიდად და გასაგებად მოყვა.
s044,ჩვენ ამ თემაზე გუშინ დიდხანს ვისაუბრეთ.,correct,none,ჩვენ ამ თემაზე გუშინ დიდხანს ვისაუბრეთ.
s044,ჩვენ ამ თემაზე  გუშინ დიდხანს ვისაუბრეთ.,error,double_space,ჩვენ ამ თემაზე გუშინ დიდხანს ვისაუბრეთ.
s044,ჩვენ ამ თემაზe გუშინ დიდხანს ვისაუბრეთ.,error,mixed_alphabet,ჩვენ ამ თემაზე გუშინ დიდხანს ვისაუბრეთ.
s044,ჩვენ ამ თემაზე გუშინ დიდხანს ვისაუბრეთ .,error,space_before_punctuation,ჩვენ ამ თემაზე გუშინ დიდხანს ვისაუბრეთ.
s045,ისინი მომავალ კვირას გამოცდისთვის მოემზადებიან.,correct,none,ისინი მომავალ კვირას გამოცდისთვის მოემზადებიან.
s045,ისინი მომავალ კვირას  გამოცდისთვის მოემზადებიან.,error,double_space,ისინი მომავალ კვირას გამოცდისთვის მოემზადებიან.
s045,ისინი მომავალ კვირaს გამოცდისთვის მოემზადებიან.,error,mixed_alphabet,ისინი მომავალ კვირას გამოცდისთვის მოემზადებიან.
s045,ისინი მომავალ კვირას გამოცდისთვის მოემზადებიან .,error,space_before_punctuation,ისინი მომავალ კვირას გამოცდისთვის მოემზადებიან.
s046,სწორი სასვენი ნიშანი წინადადების აზრს უფრო ნათელს ხდის.,correct,none,სწორი სასვენი ნიშანი წინადადების აზრს უფრო ნათელს ხდის.
s046,სწორი სასვენი ნიშანი წინaდადების აზრს უფრო ნათელს ხდის.,error,mixed_alphabet,სწორი სასვენი ნიშანი წინადადების აზრს უფრო ნათელს ხდის.
s046,სწორი სასვენი ნიშანი წინადადების აზრს უფრო ნათელს ხდის .,error,space_before_punctuation,სწორი სასვენი ნიშანი წინადადების აზრს უფრო ნათელს ხდის.
s046,სწორი სასვენი ნიშანი წინადადების  აზრს უფრო ნათელს ხდის.,error,double_space,სწორი სასვენი ნიშანი წინადადების აზრს უფრო ნათელს ხდის.
s047,ტექსტის რედაქტირებისას თითოეული სიტყვა ყურადღებით შეამოწმე.,correct,none,ტექსტის რედაქტირებისას თითოეული სიტყვა ყურადღებით შეამოწმე.
s047,ტექსტის რედაქტირებისას თითოეული სიტყვა ყურადღებით შეამოწმე .,error,space_before_punctuation,ტექსტის რედაქტირებისას თითოეული სიტყვა ყურადღებით შეამოწმე.
s047,ტექსტის რედაქტირებისaს თითოეული სიტყვა ყურადღებით შეამოწმე.,error,mixed_alphabet,ტექსტის რედაქტირებისას თითოეული სიტყვა ყურადღებით შეამოწმე.
s047,ტექსტის რედაქტირებისას თითოეული  სიტყვა ყურადღებით შეამოწმე.,error,double_space,ტექსტის რედაქტირებისას თითოეული სიტყვა ყურადღებით შეამოწმე.
s048,უცხო სიტყვის ქართული განმარტება ახალ მასალას ამარტივებს.,correct,none,უცხო სიტყვის ქართული განმარტება ახალ მასალას ამარტივებს.
s048,უცხო სიტყვის ქართული განმარტება  ახალ მასალას ამარტივებს.,error,double_space,უცხო სიტყვის ქართული განმარტება ახალ მასალას ამარტივებს.
